topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1995	value_2005	value_2010	value_2014	value_2015	value_2016	value_2017	value_2018	value_latest_year	latest_year
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	151	Eastern Europe	1	112	Belarus	BLR	1	28.04940161	53.54193075	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-758.9654	-721.5163	-9600.9886	-4421.823	-3631.0982	-4072.5292	-4994.8553	-4741.2479	-4741.2479	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	35	South-eastern Asia	1	116	Cambodia	KHM	1	104.922836	12.71163737	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-141.7095	466.6487	687.5804	-2856.4029	-2126.4898	-2301.6769	39.6635	1366.4274	1366.4274	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	17	Middle Africa	1	120	Cameroon	CMR	1	12.7419827	5.692387031	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	460.1857	48.5855	-1254.85	-2401.619	-1984.1715	-2768.4375	-1919.4441	-1802.0727	-1802.0727	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	21	Northern America	1	124	Canada	CAN	1	-101.6575058	57.72360191	US dollars	6.0		Millions	Imports FOB.	Importations FAB.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	26746.766	46108.0272	-5528.8029	12088.1996	-10889.2608	-13895.0307	-11773.3403	-15810.5052	-15810.5052	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	11	Western Africa	1	132	Cabo Verde	CPV	1	-23.63544151	15.07791834	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-243.4685	-348.7574	-510.5863	-411.9626	-391.0544	-611.7991	-743.6637	-879.5761	-879.5761	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	29	Caribbean	1	136	Cayman Islands	CYM	0	-81.16740559	19.32266656	US dollars	6.0		Millions	[2014]: Estimate.	[2014]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-386.027	-1138.3917	-815.224	-950.9424	-816.8144	-852.8176	-1017.966	-1278.9581	-1278.9581	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	17	Middle Africa	1	140	Central African Republic	CAF	1	20.93559492	7.003720791	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-145.9761	-74.5535	-120.1299	-287.3289	-359.7432	-312.8685	-221.7304	-127.7	-127.7	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	34	Southern Asia	1	144	Sri Lanka	LKA	1	80.70489654	7.614693343	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-965.8412	-2147.2125	-4049.656	-7948.9753	-8527.5009	-8954.8638	-9575.1632	-9226.542	-9226.542	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	17	Middle Africa	1	148	Chad	TCD	1	18.66618401	15.36279341	US dollars	6.0		Millions	[2014]: Estimate.	[2014]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	28.4274	2142.1095	903.6296	699.8082	700.2385	617.3219	499.3342	391.6679	391.6679	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	5	South America	1	152	Chile	CHL	1	-71.23029019	-35.2652885	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	998.0877	9046.2136	12098.7482	2233.9834	-353.6565	1971.7267	4167.5262	1294.3905	1294.3905	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	30	Eastern Asia	1	156	China	CHN	1	104.1403375	32.30955217	US dollars	6.0		Millions	For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.	Pour la présentation des statistiques, les données pour la Chine ne comprennent pas la région administrative spéciale de Hong Kong (RAS de Hong Kong), la région administrative spéciale de Macao (RAS de Macao) et la province chinoise de Taïwan.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	17262.6849	102000.6474	181762.1856	383058.0712	593903.8996	509716.4837	419577.5655	313267.6264	313267.6264	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	5	South America	1	170	Colombia	COL	1	-73.07446751	3.888209046	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-3682.4395	-13.7233	-862.9789	-9232.7977	-18344.7671	-13786.1516	-8283.8678	-170.5828	-170.5828	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	14	Eastern Africa	1	174	Comoros	COM	1	43.34234565	-11.66121732	US dollars	6.0		Millions	[2014]: Estimate.	[2014]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-51.3685	-81.4093	-166.792	-38.8552	-205.1852	-172.9903	-149.1328	-133.0281	-133.0281	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	14	Eastern Africa	1	175	Mayotte	MYT	0	45.14015057	-12.82217691	US dollars	6.0		Millions			"[2005]: United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	[2005]: Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.		-303.0692							-303.0692	2005
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	17	Middle Africa	1	178	Congo	COG	1	15.22052612	-0.840544119	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	533.8881	3402.4063	2548.1678	3202.3441	-647.2353	-1062.0332	3594.566	2333.681	2333.681	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	17	Middle Africa	1	180	Democratic Republic of the Congo	COD	1	23.65496507	-2.877154732	US dollars	6.0		Millions	[2014]: Estimate.	[2014]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	693.2957	-78.218	800.0291	104.6476	-396.8562	-793.1242	-1164.7581	-1449.9379	-1449.9379	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	61	Polynesia	1	184	Cook Islands	COK	0	-159.7711391	-21.22696458	US dollars	6.0		Millions	[2014]: Estimate.	[2014]: Données estimatives.	"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-43.9685	-76.0335	-85.4661	-103.0244	-95.2916	-93.0871	-108.6427	-121.9865	-121.9865	2018
15	International merchandise trade	Commerce international des marchandises	impexpdollars	68	Total imports, exports and balance of trade	Balance of trade	SYB062	13	Central America	1	188	Costa Rica	CRI	1	-84.19712782	9.970998683	US dollars	6.0		Millions			"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019.
"	Organisation des Nations Unies, Division de statistique, New York, Comtrade base de données de l'ONU, dernier accès mai 2019.	-503.71	-2022.582	-4875.4031	-5942.2516	-5926.0849	-5413.6385	-5055.7099	-5229.8671	-5229.8671	2018
